ID,X,Y,Z
159,-2.285062939,-2.178126682,-1.584972112
160,-1.287875433,-2.569686584,-0.759427802
161,-1.574022813,-1.418785503,-0.075537271
162,-2.092488747,-1.96541533,-1.170542637
163,-1.693734141,-2.17707603,-0.542773414
164,-2.014195678,-1.908330751,-0.693360013
165,-2.304401235,-2.310564256,-1.71911555
166,-1.992974298,-1.861027626,-0.371670341
167,-1.632499688,-1.662756226,-0.246288655
168,-2.453368352,-2.180503973,-1.771214265
169,-2.196022884,-2.375644427,-0.830022927
170,-2.059374747,-2.472806882,-0.973204556
171,-1.563560656,-2.781326017,-1.368925593
172,-2.284110773,-2.370567738,-0.4593785
173,-1.731319847,-1.831142708,-1.146048072
174,-2.203230142,-2.164304577,-1.466674262
175,-2.038138258,-2.257778155,-1.047042544
176,-2.282887052,-1.864104421,-0.171977585
177,-2.266785771,-3.023195954,-0.299239692
178,-2.162977069,-2.651166982,-1.535341258
179,-2.584813349,-2.269296638,-0.329749668
180,-1.700796696,-2.466709572,-0.433929365
181,-1.792851825,-2.200081911,-0.956649334
182,-2.223572333,-1.877219195,-0.042061502
183,-1.810419116,-1.560705036,0.051563313
184,-2.094294318,-1.925889621,-1.184561286
185,-2.026207409,-2.047200011,-0.714320501
186,-1.334531405,3.633001413,-1.323227234
187,-1.021821145,3.120157085,-1.523803628
188,-1.076534314,3.05627644,-0.07601153
189,-1.53494774,3.008865402,0.463933514
190,-1.86513649,3.812958597,-0.648299912
191,-1.830581546,3.167050438,-0.014622765
192,-0.964836184,3.184228724,-0.641226493
193,-0.92437884,2.893089308,-1.247187239
194,-1.648681219,3.429534529,-0.010106964
195,-1.508887435,3.146870807,-0.881441718
196,-0.524664245,2.941781745,-0.953669459
197,-1.580385031,3.259606467,-0.9467227
198,-0.578959227,3.253909695,-0.243713571
199,-1.185394746,2.98334788,-0.958479601
200,-1.509907014,2.605010802,-0.815724239
201,-1.238053821,3.180299827,-0.286804269
202,-0.895904653,2.771792043,0.021872736
203,-0.645797724,2.860085816,-0.860029672
204,-1.67748503,2.759487826,-0.591778936
205,-1.43999546,3.43666603,-0.657651877
206,-1.202134114,3.658305685,-0.629559338
207,-0.618516646,2.922591244,-0.693185334
208,-0.697661613,3.28698636,-1.074975692
209,-1.592694584,3.255330446,-0.019356974
210,-1.194999934,2.837348015,0.450312396
211,-1.20008564,2.537232598,-0.877664109
212,-1.20295245,3.635441421,-0.510167839
213,-1.1112354,3.457243359,-0.216631971
214,-0.938723743,3.57376433,-0.33209798
215,-1.477617746,2.953215521,-0.966158162
216,-1.489905416,3.264168445,-0.696135938
217,-1.464533734,2.847604902,-0.856429613
218,-1.390933878,2.847921559,-0.005326504
219,-1.352825771,2.997313926,-0.957292099
220,-1.410579939,3.304995277,-0.562056652
221,-0.999399807,3.43062921,-0.97896835
222,-1.174951643,2.662263502,-0.669233015
223,-1.006674117,3.530024929,-0.962470582
224,-1.442618855,2.73329248,-0.296377361
225,-1.434819937,3.022724763,-0.216499567
226,-0.841235663,3.548947939,-0.349803903
227,-1.314801767,2.990164877,-0.603740579
228,-1.64968053,-1.228185087,0.192366678
229,-0.726636816,-1.261315757,0.598368207
230,-1.254844975,-0.889180587,1.569507498
231,-0.849869997,3.454788079,-0.388928375
232,-1.510176924,3.476933672,-1.191884984
233,-1.413847293,3.356475843,-0.841092334
234,-1.723330387,3.972265592,-0.534519119
235,-0.632685376,2.765198798,0.002940078
236,-1.692497064,3.231667082,-0.381790752
237,-1.530006538,2.818687368,0.733120289
238,-0.915030577,2.502384353,-0.258349085
239,-1.512461963,3.007733059,-0.059637054
240,-0.938462485,2.99555956,-1.072500238
241,-1.152274497,3.127722913,-0.613567658
242,-1.129978586,3.095226259,-0.213641765
243,-1.355017311,2.658670489,-1.209300019
244,-0.842973279,3.319286738,-0.433463744
245,-1.304492729,3.450544678,-1.19978535
246,-1.265277951,2.913851295,0.161555668
247,-1.390842054,3.209101348,-0.77982444
248,-1.209749646,3.209479014,-0.330389469
249,-1.185270131,2.515730233,-0.01273989
250,-1.697250055,2.978412642,0.075247399
251,-1.57529924,3.202829891,-0.275921571
252,-1.570423212,2.97479456,0.275648906
253,-1.193721223,3.365715489,-0.230378349
254,-1.878598103,3.287417511,-1.094564064
255,-1.603115911,2.251908383,0.587601724
256,-1.027330275,3.337887278,-0.646831337
257,-1.503911629,3.248362851,-0.51339414
258,-1.539282576,3.146831431,-0.393905094
259,-0.840529044,3.28783816,-0.402910405
260,-1.600358791,3.313802739,0.26890405
261,-1.524167059,3.044253799,-0.595393414
262,-1.288175338,3.470574415,-0.332140932
263,-1.18911813,3.269488161,-0.056065833
264,-1.428057769,3.407427568,-1.024584322
265,-1.007678891,2.585445163,-0.448868768
266,-1.500425614,-1.022028329,0.933677716
267,-1.553960755,-1.267429103,0.250371683
268,-1.466325569,-0.793914724,0.015107286
269,-1.850231532,-1.568192899,0.193342703
270,-1.3464935,3.445976785,-0.403786063
271,-1.620477757,3.561436702,-0.951131853
272,-1.305951943,3.417103198,-0.304526341
273,-1.804033253,2.910356535,-0.880693556
274,-1.372338063,3.008658637,-0.923882113
275,-1.750481189,3.373970939,-0.735994644
276,-1.167428806,3.224922785,-0.50592158
277,-1.734460803,2.950032138,-0.896643778
278,-1.553731705,3.405566227,-0.745953615
279,-1.523191033,3.29911747,-0.320031029
280,-1.265387872,2.737956253,0.238322848
281,-1.835879766,3.077514311,-0.600358294
282,-0.954917031,3.597854606,-0.366880391
283,-1.2073786,3.162545711,-0.576846108
284,-1.469498892,3.661312915,-0.492588284
285,-0.960547168,3.167952571,-1.212983915
286,-1.264100727,2.837737524,-1.015110166
287,-0.972976523,3.2249208,-0.804480383
288,-1.325411894,2.680531132,-0.902737236
289,-1.635330294,2.880230134,-0.049332887
290,-1.022773272,2.609294033,-0.32130305
291,-1.118319589,3.274743113,-0.797184663
292,-0.885603952,3.054190764,0.370316791
293,-1.579083337,3.279847652,-0.833647889
294,-1.216850299,2.865856132,-0.123697444
295,-1.277874979,3.255113768,-0.708774804
296,-1.528492461,3.526783301,-0.146145827
297,-0.654114664,3.310559379,-1.38587183
298,-1.217214485,-1.967394974,-0.19925268
299,-1.552040851,-1.225815858,0.256630677
300,-0.923024933,-1.231401579,1.060208588
301,-1.259597174,-1.729958976,1.356624385
302,-1.093604229,-2.089574604,0.320364479
303,-1.716045163,-2.160236084,-0.894485586
304,-1.698356616,-1.47543167,0.810213557
305,-2.000297028,-1.974303523,-0.740938436
306,-1.522263736,-0.055572031,-0.216850471
307,-1.267228001,2.533572141,-1.104533338
308,-1.525648725,3.065864146,-0.725919941
309,-1.584866347,3.31559463,-0.616848313
310,-1.52850153,2.58832527,0.347912321
311,-1.062287277,3.579828115,-0.48074409
312,-1.33405078,2.850613074,0.127588923
313,-1.400661008,2.656770909,-0.182581996
314,-0.559142923,3.10108167,-0.483938299
315,-1.532169665,3.439316109,-1.131672558
316,-0.878352192,2.994133396,-0.50149564
317,-1.370362973,2.133399063,-0.495694917
318,-1.596311002,3.254145655,-0.249563503
319,-0.790923695,3.19961252,-0.385197482
320,-1.018601358,3.233042124,-0.575308052
321,-1.081880502,3.576598858,0.132108403
322,-2.325998006,-1.726458229,-0.130331338
323,-1.42260699,-1.576943663,-0.820763274
324,0.052342364,-1.052308581,0.709249813
325,-0.611768114,-0.449372857,0.380981783
326,0.215885368,-0.569129228,0.162271516
327,-1.90717525,-2.40659015,-1.107315956
328,-1.262300593,-0.34520546,-0.196851821
329,-0.910856269,-1.5316626,-0.547196857
330,-1.235759184,-2.194428747,0.243494074
331,-1.653093656,-0.811046574,0.570496678
332,0.73133039,-1.103020257,1.487382926
333,-1.582533423,-1.754650384,0.040825015
334,-1.856819338,-1.677781864,-0.993151899
335,-1.558411718,-0.88973905,0.656044344
336,-1.176787515,-0.839640494,0.045368976
337,-1.695779926,-1.339775198,-0.021072745
338,-1.875011416,-0.986645704,0.045592227
339,-1.524295062,-1.335351541,-0.043814276
340,-1.532693609,-1.615707218,-0.965355919
341,-0.461148451,-1.341164928,1.156748733
342,-0.518935122,-1.177538588,0.082422678
343,-1.62380008,-1.216843654,0.348115273
344,-0.349788097,-0.416126353,1.402400464
345,-1.33533599,-1.3392283,2.509983849
346,-0.084244076,-1.414132039,1.114318327
347,-1.033614106,-1.017953483,0.168640817
348,-1.279388058,-1.511750904,0.201298469
349,-0.820781721,-1.061947008,0.409723229
350,-0.942277089,-1.32445924,1.144226176
351,-0.592898192,-0.926249362,1.168417955
352,-1.420307725,-1.082065276,0.400968186
353,-1.450795616,-2.166621239,0.440443214
354,-1.16845272,-1.641515388,-0.330061752
355,-0.935575688,-2.006621348,-0.429429129
356,-0.850347193,-0.589600725,-0.493496494
357,-1.557482325,-1.239349144,0.000282826
358,-1.981140272,-1.196954063,-0.316573885
359,-0.296821871,-1.96778129,0.486299203
360,1.766119562,0.197087495,0.712526746
361,-1.027503565,-2.066435583,0.236562675
362,-1.014957488,-0.508630482,0.267538542
363,-1.890976312,-1.828762043,-0.164639151
364,-1.727181105,-1.269228847,0.743680139
365,-1.648310295,-1.652204958,0.092632819
366,-1.776217157,-1.277433638,1.360250088
367,-1.71096232,-1.196319197,1.11520296
368,-0.515341153,-1.918389427,0.232653257
369,-1.085508868,-0.537252081,1.200413197
370,-1.869188906,-1.67152508,0.092735506
371,-1.664011507,-0.244564494,1.005163708
372,-1.453418606,-1.411610732,0.396678024
373,-1.759371926,-1.576437372,-0.111720801
374,-1.613955892,0.039614515,1.888853637
375,-1.816916968,-0.750505787,0.285803429
376,-0.666375957,-0.709758972,2.131924386
377,-1.172551378,-0.534124042,1.424904689
378,-0.476912741,-0.464772228,0.490457479
379,-0.770343279,-1.314465235,0.659679637
380,-0.645138661,-0.233142105,2.299903505
381,-1.205256021,-1.032428131,0.177818905
382,-1.085993784,-1.430075026,0.431285233
383,-1.69582783,-1.869128777,0.532133734
384,-0.591902782,-0.425593791,1.350535201
385,-1.384560457,-2.359428705,-0.078849058
386,-1.238832511,-1.442197865,-0.260606493
387,-0.480501321,-0.949924908,1.202199732
388,-1.542031001,-1.674617185,0.234338908
389,-1.192385542,-1.25502618,-0.53929538
390,-1.172706997,-1.082663554,0.628484486
391,-2.058090149,-0.35675137,0.569437807
392,-1.1328068,-1.084385168,1.37823351
393,-1.349081501,-1.346449744,-0.055458057
394,-0.656297675,0.211018315,1.049648376
395,0.112411922,0.042536358,0.665670725
396,-1.901212808,-0.073892927,0.823875502
397,-0.959147836,-1.026438297,0.23965197
398,-1.875613919,-0.506307922,0.113140151
399,-0.271759105,-0.82058908,0.203317977
400,-1.705079793,-1.395709509,-0.446405876
401,-1.351562087,-0.955779303,1.955529447
402,-0.52649489,-0.708239093,0.863670077
403,2.242234683,0.361109466,0.504791183
404,0.6629577,-0.913018343,-0.054818207
405,-0.715105509,-1.10559399,1.310625669
406,-1.055197066,-1.600735887,0.322264303
407,-0.682753862,-0.315447635,1.756778169
408,-1.586404034,-0.504207053,1.052231267
409,-2.112881459,-1.091561363,0.642164705
410,-1.012575541,-0.630971686,1.571752032
411,-2.291662858,-0.958838441,0.159887453
412,-1.838894801,-1.737068337,0.697676223
413,-1.426995365,-1.744475204,0.159803877
414,-1.386139931,-1.121833271,0.469563118
415,-1.440050448,-1.278224617,1.240242608
416,-1.328108986,-1.342104809,0.647674767
417,-1.395553868,-0.978359171,0.569771189
418,-1.829885991,-1.782776687,-1.287554605
419,-1.807681639,-0.871648667,0.675077877
420,-1.97705719,-1.454342948,-0.116238835
421,-1.450441159,-0.280093628,1.330393674
422,-1.939581001,-2.357572821,0.079893058
423,-0.069332996,-1.540000628,1.243232723
424,-0.668941758,-1.245601355,1.030288446
425,-0.948600787,-1.521660018,0.535078395
426,-0.758229131,-1.302898178,0.652281789
427,-0.575106724,-0.722010146,1.119924582
428,-1.119215705,-1.245947358,-0.217177368
429,-1.429126009,-1.631111162,-0.439017341
430,-1.439475826,-2.07063655,0.468240057
431,-0.922733807,-0.885149247,0.739098341
432,-1.52617741,-1.151780565,0.111394431
433,-1.793945967,-2.539451118,-0.76391551
434,-1.665353424,0.229558805,1.42936313
435,0.355621734,-0.229992966,1.945619987
436,-1.733975469,-0.116500657,1.814082875
437,-1.309208579,-1.500616337,1.383708395
438,-2.0522587,-1.201900779,0.490324063
439,-1.708915378,-0.299951488,0.666541425
440,-2.063272828,-1.138668899,0.134085131
441,-1.674188575,-1.366230735,-0.020288383
442,-1.848857406,-1.628405527,-0.194085316
443,-1.814186434,-1.625313707,0.025814995
444,-2.284069283,-1.788605946,0.386678421
445,-1.402178625,-2.115423075,-0.299601844
446,-1.635899185,-0.916724856,0.187574004
447,-0.92784373,-1.302601879,-0.217971519
448,-0.869294864,0.141362298,1.479188272
449,-1.509938092,-0.875173372,1.676791355
450,-1.464170248,-0.836872621,0.402482178
451,-1.152131827,0.357770797,3.234384902
452,-2.190535041,-0.998399965,0.913507423
453,-1.464857691,-1.046849447,-0.22481853
454,-0.706761291,-0.783358876,1.956465071
455,-1.241524804,-0.79689892,0.810570479
456,-0.576119471,0.697142086,1.304878138
457,-1.791760529,-1.941849581,0.870295973
458,-1.824660897,-1.266155991,-0.499096995
459,-2.045656333,-1.207678053,-0.061221504
460,0.419364993,-0.055487183,2.055916593
461,-1.238104701,-1.073816178,0.955335593
462,-1.205303298,-0.674994197,0.771083806
463,-0.987871508,-1.659946983,1.520025344
464,-0.90704301,-1.614132741,1.133684807
465,-0.604100218,-1.998349165,0.786817977
466,-1.416239438,-1.416325996,1.297778491
467,-1.162481303,-0.642833996,0.903508129
468,-1.205247963,-1.700614747,-0.777662825
469,-1.922011222,-1.671515204,0.525253255
470,-1.288057552,-1.063931185,0.020060559
471,-0.659308926,-0.995014415,1.068858748
472,-1.756313542,-0.511031848,0.002380078
473,-1.729820539,-1.925548385,-0.422780926
474,-1.841088006,-0.72564175,0.889707409
475,-2.20518636,-1.68387669,0.415950304
476,-1.802001412,-0.676262427,-0.172834231
477,-1.331771121,-0.884482403,1.593228037
478,-1.439371608,-0.821719091,0.803532312
479,-1.502755628,0.770285984,1.378157271
480,-2.398342389,-1.68055773,1.099776897
481,-1.407619197,-1.865724761,-0.188189606
482,-2.247058199,-0.262137279,1.671099862
483,-1.148757477,-1.732901016,1.22898649
484,-1.944821026,-0.534305166,0.436574995
485,-0.650666903,-0.883180993,2.263056546
486,-1.117994429,0.336103154,0.969944084
487,-1.249011971,-0.235765101,1.294544644
488,-1.67639759,-2.162126685,-0.377037772
489,-1.782529692,-1.145066664,-0.489704592
490,-1.359641593,-1.421863328,0.058022918
491,-2.17448139,-1.280163838,-0.069517676
492,-0.053744085,-0.493019703,1.233161959
493,-2.094063117,-0.338056452,1.138545175
494,-1.506403974,-1.468572827,-0.076884829
495,-2.056568573,-0.96763353,-1.039380827
496,-1.615117296,-1.63044285,-0.440795911
497,-1.186947281,-1.269883028,0.073753242
498,-1.117427963,0.149303054,-0.062105086
499,-1.796813782,-0.168745343,1.084129072
500,-1.585320828,-0.393098866,0.513117165
501,-1.417122773,-0.241650489,0.0638587
502,-1.374819029,-1.801450206,0.13286538
503,-1.739745939,-2.322434153,-1.026799337
504,-1.149401838,-2.630939049,-1.552023422
505,-1.140998097,-2.153805148,-0.927713749
506,-1.474093485,-2.311475961,-0.57333108
507,-1.557637668,-2.201401922,-0.022311886
508,-2.033757046,-2.100298865,-1.138157956
509,-1.628784457,-2.588543028,-0.432509687
510,-1.889638366,-1.775624424,-0.063833104
511,-1.742614583,-2.67363046,-1.002408566
512,-2.139985207,-2.291876899,-0.907401319
513,-1.658976897,-2.719618279,-1.360734823
514,-1.836627664,-3.043957533,-0.752871101
515,-2.102800403,-2.56309435,-0.945251089
516,-1.912061732,-1.936739285,-0.115547755
517,-1.825914858,-2.288794583,-0.895171668
518,-1.398128927,-1.60988533,-0.699864852
519,-0.961835724,-2.061660764,0.053169974
520,-1.537265395,-2.207486605,-0.915176087
521,-1.829672094,-1.451263033,-1.206885323
522,-1.737459004,-2.343434907,-0.389782687
523,-1.51392342,-2.013220611,-0.120453553
524,-2.065788166,-1.978964077,-0.49177008
525,-1.806342678,-2.110605995,-1.198360207
526,-2.353516708,-2.107929082,0.530825606
527,0.431254469,-0.865744678,0.332245245
528,-0.482154073,-0.206914397,2.166441555
529,-2.259832268,0.658902835,1.547164049
530,-1.462660892,-0.546138371,0.842281162
531,-1.573821903,-0.52375877,2.270666284
532,-1.615609265,1.524671954,1.3455569
533,-1.966587375,-0.91293837,1.318125283
534,-2.020546867,-0.237978492,1.349727352
535,-0.523452326,-0.81499002,0.955964216
536,-0.705513003,-0.651274698,0.815439201
537,-1.565098538,-0.607508016,0.570938086
538,-1.111135906,-0.470881808,-0.255659962
539,-1.062913414,2.928838397,-0.665618694
540,-0.766224661,3.043121673,-0.785575831
541,-1.371309475,2.918458087,-0.876412159
542,-1.496831487,3.490181816,-0.366877795
543,-1.071587969,2.583034842,-0.045420961
544,-1.205344128,3.605590096,-0.835890769
545,-2.260864019,-2.828399812,-0.018143434
546,-2.099790727,-2.339598869,-1.30812478
547,-1.044476257,-2.281059121,-1.118418937
548,-1.310766827,-2.104620242,-0.661587603
549,-1.666729883,-2.668517924,-0.622619033
550,-1.656461159,-2.264768538,-1.110222237
551,-2.092524219,-2.378583811,-1.701853701
552,-1.827188414,-2.121723808,-1.155224476
553,-1.325176296,-2.653524267,-0.990394399
554,-1.522902309,-2.120554777,-0.303151205
555,-1.448761246,-1.990734331,-0.751791111
556,-1.488567831,-2.101544286,-0.571362686
557,-2.202248717,-2.056086862,-0.665601072
558,-1.594382153,-2.200464019,-1.658083693
559,-1.625438836,-2.448745686,-0.149560669
560,-1.304467583,-1.979381223,0.289309076
561,-1.623663336,-2.149195162,-1.321402761
562,-1.809139302,-2.245428988,-0.995564115
563,-0.720205113,-2.463351915,-0.293918708
564,-2.073478796,-2.066121498,-1.143519922
565,-1.716149191,-2.496081551,-0.873499656
566,-1.565885405,-1.871701541,-1.249935952
567,-1.809901926,-2.427361448,-0.596161203
568,-1.913352336,-2.256687536,-0.544482369
569,-1.624903525,-2.032308112,-0.777037428
570,-1.797968753,-2.170879591,-0.502108672
571,-2.325179435,-1.883877113,-0.490559856
572,-2.152318758,-1.834440914,-0.547933443
573,-1.87376119,-1.968010093,-0.737270788
574,-1.400814778,-2.399009579,-0.957094812
575,-1.411900504,-1.906818118,-0.259840515
576,-1.81749036,-2.096496892,-1.056198955
577,-1.371355618,-2.147176518,-1.069215028
578,-1.937178813,-2.444926978,-0.742041623
579,-1.321161768,-2.125057909,0.050546943
580,-1.937863892,-2.695462749,-0.496615027
581,-1.536350212,-1.239834397,-0.314268642
582,-1.791560477,-2.316330017,-1.176165712
583,-0.970310491,-2.220235945,-1.211173536
584,-0.933668037,-2.158867083,-0.450500406
585,-1.850394314,-2.210847504,-0.314318938
586,-1.606346725,-2.392384111,-0.360308616
587,-0.799459092,-2.957387968,-0.262326787
588,-1.546820896,-2.40579356,-0.506950318
589,-1.765836817,-2.695023492,-0.716032252
590,-2.380594934,-2.474201229,-0.522630866
591,-2.042607014,-1.708400137,-0.065330315
592,-1.650803263,-2.487135014,-1.608929297
593,-1.890027987,-1.3151502,-0.45811828
594,-1.652847334,-2.198647999,-1.037408064
595,-1.540339227,-2.120530188,-0.225977542
596,-1.437137014,-1.803051598,-1.138054615
597,-1.158256603,-2.430808599,-0.137632042
598,-1.381591278,-2.04058333,-0.20168431
599,-1.788643496,-1.673815746,-0.721411569
600,-1.801182428,-1.503284051,0.112551374
601,-1.465874587,-1.706843919,-0.635617688
602,-1.571721974,-2.238335317,-1.131063934
603,-1.437372524,-1.992736524,-1.224772242
604,-1.75762952,-1.787878387,-1.681170741
605,-2.04325991,-2.237327056,-0.731566784
606,-2.196843758,-1.943646685,-0.519317705
607,-1.757359825,-2.024069227,-0.466791727
608,-1.410177912,-1.831227218,-1.181972663
609,-1.513799118,-2.164158105,-0.642416124
610,-1.821384695,-2.265503543,-0.952686758
611,-1.762622809,-2.124070459,0.051309195
612,-1.913676148,-2.07802663,-1.432612849
613,-1.201998704,-2.007691679,-0.147067709
614,-1.23757271,-1.374955133,-0.268473152
615,-2.130719792,-1.829068275,-1.410069247
616,-1.770776695,-2.403390494,-0.905748725
617,-1.883837543,-2.472051863,-0.794229574
618,-0.467146811,2.740507234,-0.973370887
619,-1.223717286,3.096148642,-0.991475509
620,-1.679803033,2.724108762,-1.099582896
621,-0.948912719,3.425748462,0.263075671
622,-0.779258837,3.134274282,-0.793225405
